,Message,Label,Language
101,"sayin tuncay, alsancak magazamiz indirimin ilk 2 gunu sabah 9'da aciliyor. (6-7 ocak) sms ret icin ms yazin 3525'e gonderin. mersis:0396007527100022",1,tr
102,wan early lei... outside wun b home early... neva mind then...,0,en
103,"contacted dating service someone know! find is, call land line 09050000878. pobox45w2tg150p",1,en
104,&lt;#&gt; mins stop somewhere first.,0,en
105,"good afternoon, love. good see words ym get tm. smart move, slave ... *smiles* ... drink coffee await you.",0,en
106,şimdi aksaray terminale geldik hayırlısıyla eve bir ulaşsaydım,0,tr
107,"oh rite. well im best mate pete, went 4 week+ 2geva again. longer week.",0,en
108,well welp sort semiobscure internet thing,0,en
109,"get door, i'm",0,en
110,oh... kay... sat right?,0,en
111,get dump heap. mom decided come lowes. boring.,0,en
112,tosunu goresim geldi.,0,tr
113,"awesome, remember last time got somebody high first time diesel :v",0,en
114,none that's happening til get though,0,en
115,"aight i've set free, think could text blake's address? occurs i'm quite sure i'm thought",0,en
116,forget owns who's private property ... good boy always .. *passionate kiss*,0,en
117,lol that's different. go trying find every real life photo ever took.,0,en
118,"pesin al, taksit taksit ode!31 mart'a kadar olan harcamalarinizi ucretsiz,faizsiz 4'e bolun!""taksit"" bosluk kartin son 6 hanesini 3404'e gonder! parafcard.com",1,tr
119,gimana nuy menghadapi beliau?,0,id
120,i'm boat. still moms. check yo. i'm half naked.,0,en
121,im late tellmiss im way,0,en
122,enjoy urself tmr...,0,en
123,yeah got 2 v apologetic. n fallen actin like spoilt child got caught that. till 2! go there! badly cheers. you?,0,en
124,hahn aynen böyle kalsin :),0,tr
125,heh tamam ozaman mavi şortu buldum,0,tr
126,memperbaiki bug2 karna ganti db bbrp. lg enak nonton td ditelfon 😂,0,id
127,great. p diddy neighbor comes toothpaste every morning,0,en
128,bonus american expressle bpde ayri gunlerde 3 100tl uzeri yakit alimina 20tl bonus!ilk harcamadan once bpbonus yaz 3340a gonder.son gun 15 kasim!www.bonus.com.tr. size ozel indirim/kampanyalarla ilgili ucretsiz sms almak istemiyorsaniz smsiptal yazip 2244 e gonderin,1,tr
129,sat right? okay thanks...,0,en
130,parfumde buyuk firsat burberry classic edt erkek parfumu 100 ml sadece 9990 tl URL TOKEN bitly burbrry,1,en
132,ben ankara'ya gelecektim sonra sen nasılsa geleceksin vazgeçtim,0,tr
133,şimdi aradım dayanamadım sordum esra hanımdaymış,0,tr
134,"hello, hello, hi lou sorry took long 2 reply- left mobile friends lancaster, got bak neway im sorry couldnåõt make ur båõday 2 hun!",0,en
135,"u've selected stay 1 250 top british hotels - nothing! holiday valued å£350! dial 08712300220 claim - national rate call. bx526, sw73ss",1,en
136,much getting?,0,en
137,dagi'de tum konfeksiyon camasir urunlerinde %50 indirim kampanyasinda son gun keyifli alisverisler dileriz mesaji almak istemiyorsan ret 3347'ye gonder,1,tr
138,"&lt;#&gt; g saw days ago, guy wants sell wifi &lt;#&gt; 3g &lt;#&gt; . that's blanked him.",0,en
139,uncles atlanta. wish guys great semester.,0,en
140,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod å£250 cash every wk. txt pod 84128 ts&cs www.textpod.net custcare 08712405020.,1,en
141,tamamdır saolasım,0,tr
142,3 pa selected.,0,en
143,size ozel 20tl bayram bonusu! 27 eylul'e kadar paracard 260tl harcayin 20tl bonus kazanin! bayram yazip 3340'a gonderin paracard.com.tr/b size ozel indirim kampanyalarimiz ilgili ucretsiz sms almak istemiyorsaniz smsiptal yazip 3342'ye gonderin.,1,tr
144,baskan pilllllll :),0,en
145,indirim watsons buyuk yilbasi indirimi basladi 50ye varan firsatlar icin hemen tikla URL TOKEN googl vtlcmo cikiswts yaz 3525e gondermersis0212037036400019,1,en
146,gececekmisiniz,0,tr
147,"50tl bonus! bonusa uye market,giyim,beyaz esya,restoranda 100tl harcamaya 10tl,toplam 50tl bonus! ilk harcamadan once kazan yaz 3340'a gonder. bonus.com.tr",1,tr
148,"i̇yi iyi topla bişeyler, laptop isteseydin :))",0,tr
149,hey gave photo registered driving ah? tmr wanna meet yck?,0,en
150,"sorry, can't help this.",0,en
151,onurlarda evde takılır. kesin pes atar,0,tr
152,karahayit barika termal yilbasi coskusunu fedon la yasayin! 4gun 3gece yarim pansiyon yilbasi paketi 498 tl hemenara 02589880188 www.barikatermal.com,1,tr
153,telefonun etkin!,0,tr
154,msg mobile content order resent previous attempt failed due network error queries customersqueries@netvision.uk.com,1,en
155,ìï wait 4 sch finish ard 5..,0,en
156,"firsat yazip 2222'ye ucretsiz gondererek, 30 dk gunluk konusma kazanabilir markalarin indirim kampanyalarini tum hatlarinizla ucretsiz ogrenebilirsiniz",1,tr
157,text & meet someone sexy today. u find date even flirt u. join 4 10p. reply name & age eg sam 25. 18 -msg recd@thirtyeight pence,1,en
158,k.i did't see you.:)k:)where now?,0,en
159,ready * big day tomorrow?,0,en
160,bilmiyorum arastirmadim,0,tr
161,played smash bros &lt;#&gt; religiously.,0,en
162,ev kendinin olmayınca insan bişey yapamıyor buralarda,0,tr
163,really need 2 kiss u miss u baby ur baby 4eva,0,en
164,tamam bişey olursa arasın,0,tr
165,oh k. . come tomorrow,0,en
166,guaranteed 32000 award maybe even å£1000 cash claim ur award call free 0800 ..... (18+). legitimat efreefone number wat u think???,1,en
167,sen zaman geliyorsun,0,tr
168,"way, make sure u get train worc foregate street shrub hill. fun night x",0,en
169,dask poliçeside zorunludur.,0,tr
170,"butuh dana tunai cepat 25-250 juta dgn bunga rendah 1,35% flat/bln proses dijamin 3 syarat mudah info yani : 081218986001",1,id
171,free doublescoop ice cream / disc 10% haagen-dasz tcash tap! s&k berlaku. info tsel.me/tappromo,1,id
172,where's boytoy? miss ... happened?,0,en
173,"bir sonraki ay tarife icerigini sadece 10tl farkla 3gb internet, yone 750dk 6000sms'e esnetmek icin esnek ekstra yaz 7000e gonder, bir sonraki fatura doneminden itibaren kullanmaya basla.",1,tr
174,kampanya ntde harika yari yil tatili indirimleri asus laptop 899tl lg g332gb 1169 tl samsung j54g 899tl samsung 7 tablet 259tl 4 cekirdek tablet 159tl sms iptal URL TOKEN nttc g sa8ld7 mersis 5144431354627526,1,en
175,know need get hotel now. got invitation apologise. cali sweet come english bloke's weddin,0,en
176,u come n search tat vid..not finishd..,0,en
177,bayram bir web siteniz olsun! hosting paketleri simdi %50 indirimli son gün 8 ekim www.isimtescil.net ? iyi bayramlar,1,tr
178,ben kadroluyum zaten doktorodan sonra,0,tr
179,much buzy,0,en
180,resmi tri care pin pemenang anda_8jf2177 medptkan 1/unit toyota yaris u/info klik: www.gebyar3care.jimdo.com cs:021-80001234/089643122237,1,id
181,"hgs'nizi garanti'den alin, azaldikca otomatik yukleme ozelligiyle bakiyenizi takip edelim! ustelik bakiye yuklemelerinize ucret odemeyin! hgs'nizi subeden hemen teslim alabilir internet subesinden basvurabilirsiniz.",1,tr
182,lingkungan kerjanya berasap. kalo gak ngerokok ya nge-vape gitu coba. cowok banyaknya,0,id
183,ürünlerimizde ikinci ürüne 20 net indirim son 1 hafta üstelik elden senetle sakın kaçırmayın 5464013854 sms iptali URL TOKEN iptalco itqyy,1,tr
184,guai... ìï shd haf seen he's naughty... ìï free today? go jogging...,0,en
185,kirim bank bca no. rek : 2731.7942.96 a/n : andrianto djunaedi usahakan trms,1,id
186,onur'a sorayım bi,0,tr
187,"carlos pick him, i'll swing usf little bit",0,en
188,indirim: yeni yila ozel %25 indirim firsati! son gun 31 aralik! sms almak istemiyorsaniz tefal ret yazip 2924'e gonderebilirsiniz. mersis no:0833003193000011,1,tr
189,tamam hocam ;),0,en
190,"kampanya, vakifbank worldcard emlak cevre temizlik vergilerinizi faizsiz, masrafsiz 3000 tlye kadar 5 taksit, 3000 tl uzeri 2 taksitte odeyebilirsiniz. hesap kesim tarihinden once 9 hazirana kadar 4440724u aramaniz yeterli.",1,tr
191,tamam hocam :) :),0,tr
192,villa olursa sende ortak olurmusun fiyata,0,tr
193,"nice. wait...should texting right now? i'm gonna pay ticket, ya know!",0,en
194,that's significant dont worry.,0,en
195,vena magazalarinda son indirim! secili urunlerde etiketin yarisi firsati basladi.sms iptali icin venaret yaz 7889'a gonder.mersis no:0924004278000017,1,tr
196,iyi yapmissin değişiklik olmuştur sanada :) 2 ay oldu zeynep abla,0,tr
197,iya put alat masak makan mah usahain,0,id
198,oh thanks lot..i already bought 2 eggs ..,0,en
199,"3000 tl limitli avans hesap icin son firsat! bir imzaniz acilabilmesi icin subemize gelin, nakit sikintisi cekmeyin! son gun 11 mayis! bilgi: 02522117030",1,tr
200,pizza pizza'dan ortaligi karistiracak fiyat 2 adet ortaboy ortaya karisik pizza +1 adet sarimsak sos sadece 19.90 tl! 44 44 500 ara gelsin !,1,tr
201,rahman gönül rahatlığı versin...,0,tr
202,sorry uncle. i.ll keep touch,0,en
204,yup. izzit still raining heavily cos i'm e mrt can't c outside.,0,en
205,carrefoursa kart bugunun firsatini kacirmayin! 27 kasim'da tek seferde yapacaginiz 75tl uzeri alisverislerinize coca cola\zero,1,tr
206,shall fine. avalarr now. hollalater,0,en
207,ok,0,en
208,"firsat:money dostu, tam senlik oldugunu dusundugumuz filiz ozel lezzetler makarna cesitleri 350g 1,45tl!10-23 aralik'ta migrosta. bilgi icin, 4441044. sms almak istemiyorsaniz iptal yazip 7447'ye gonderin. mersis no: 0622052951300016",1,tr
209,evet :),0,en
210,u hiding stranger?,0,en
211,wishing wonderful week.,0,en
212,evde yokken degerli esyalariniz guvende olsun. is bankasi kiralik kasalarinda size ozel yaz kampanyasiyla %45'e varan indirim! www.isbank.com.tr/?issp=k9 iletisim tercihlerinizi degistirmek icin:internet subesi 08507240724,1,tr
213,hahaha..use brain dear,0,en
214,kampanya: sn. kara 32-100 gun vadeli 25.000-1.000.000tl arasi mevduatiniza ozel %12 tanisma faiz orani firsati 1 kasima kadar esenyurt subemizde. vakifbank mersis: 6233294113736392,1,tr
215,k... must book huh? going yoga basic sunday?,0,en
216,wishing great day. moji told offer always speechless. offer easily go great lengths behalf stunning. exam next friday. keep touch more. sorry.,0,en
217,"sorry vikky, i'm watching olave mandara movie kano trishul theatre wit frnds..",0,en
218,onceki perde kadar uzun olucak,0,tr
219,bugune ozel lg g4 32 gb 1669 tl lg tr garantili 125 tl chippara hediye URL TOKEN googl hjzvwp cikmak icin kliksa ret yaz 4933e yolla mersis 0564054884900014,1,tr
220,darling sister. doing. when's school resuming. minimum wait period reapply? take care,0,en
221,boynerde isaretli urunlerde 50ye varan indirim URL TOKEN googl w4hvga son gun 3101 bilgi icin 4442967 cikmak icin ret boyner yazip 5956ya gonderin mersis 2969818352347142 servis saglayici figensoft,1,en
222,"haha... sounds crazy, dunno tahan anot...",0,en
223,"hafta sonu moi sahne'de cuma saat 21.00 ince saz konseri, cumartesi saat 20.30 tiyatro kare leyla'nin evi pazar saat 18.00 mahser-i cumbus! biletix.com",1,tr
224,unlimited texts. limited minutes.,0,en
225,somestir firsati! alanyada kapali havuzlu sauna hamamli 5 yildiz herseydahil otelde tatil 4gece 5gun 230tl 0-14 yas free +9taksit 02425153000 www.goo.gl/dvabyc,1,tr
226,"asimsiz 1gb yazip 5555'e gonderin, ayda 19 tl'ye 1gb cepten internetin keyfini yasayin.ustelik internetiniz bitince paketiniz dursun! iptalde paket ucreti alinir.tanitim iptali icin ipt,sadece sms tanitim iptali icin ipt sms yazip 7672'ye gonderin.",1,tr
227,paraf teknosadan 750 tl uzeri alisverislere 75 tl parafpara ustelik pesin fiyatina 9 taksitle son gun 12 aralik detay URL TOKEN urlparafcardcomtr 67,1,tr
228,anytime lor...,0,en
229,much u trying get?,0,en
230,"wait that's still clear, sure sarcastic that's x want live us",0,en
231,pls send address sir.,0,en
232,ajakin ke soekarno hatta aja nama1 . makan di eatboss soekarno hatta wkwkw,0,en
233,"pt. pertamina persero menerima karyawan(i) lulusan smk, d1,d2,d3,s1&s2 kirim lamaran,cv,ijazah,photo4x6 & notip ke email: pertaminareckrutment@ymail.com",1,en
234,aduh ge pusing yg lamaran yg nyari2 kebutuhan,0,id
235,"dapatkan bonus pulsa hg 50rb isi ulang minggu, isi ulang dr 10rb. ktk: gratis krm 123. panduan: ketik pan krm ke123. cek bonus tekan*555*3#",1,id
236,10-15 subat arasi sevgililer gunune ozel yeni urunler uygun fiyatlar harbiye askeri muze outlet hediyelik esya fuarindayiz www.europirlanta.com,1,tr
237,tamamdır ben konuştum tarayıp gönderecek hallediyorum şimdi :),0,tr
238,"say fantastic chance, anything need bigger life lift losing 2 live, think would first person 2 die n v q?",0,en
239,10 tane yeterli olur sanırım,0,tr
240,yarın gelince ararım onları yazmışlarsa söylerler ;) saolasın ;),0,tr
241,much bad avoid like this?,0,en
242,"patah hatinya level tinggi, jd quotes put",0,id
243,selamat: t'rpilih l'ngsung m'ndptkan hadiah dr pt.telkomsel rp:75jt.u/info hubungi pusat: 085245780079 drs.h.mulyadi pelaksana:telkomsel,1,id
244,great. getting worried you. know wonderful caring person like best life. know u r wonderful god's love yours.,0,en
245,"fena değildi, ilk filme göre iyi hatta",0,tr
246,great princess! thinking me? :),0,en
247,yarin elinizde olur dedi sözde bakalim sinir oldum,0,tr
248,surly ill give you:-) coming review.,0,en
249,iş yapmadık köy havası iyi geliyor yoruyor,0,tr
250,"kampanya: vakifbank worldcardla 27 eylule kadar world uyesi gida, giyim, egitim, kirtasiye, kuyumda ilk 100tl sonrasi 100tlye 10tl,maks 50tl worldpuan.katilim icin kazan yazip kart son 6 hanesini 6635e gonderin.kampanya smsi iptali icin vbred yazip 6757ye gonderin.",1,tr
251,hey doing. reply pa..,0,en
252,congratulations ur awarded 500 cd vouchers 125gift guaranteed & free entry 2 100 wkly draw txt music 87066 tncs www.ldew.com1win150ppmx3age16,1,en
253,hmm .. bits pieces lol ... *sighs* ...,0,en
254,ok come ur home half hour,0,en
255,vakifbank worldcardla 31 ocaka kadar sube 4440724 telefon bankaciligindan 5000tl nakitetaksit kullanin aylik 607 tl taksitlerle 9 taksitte odeyin.,1,tr
256,konuştum hakan'la,0,tr
257,want lick pussy now...,0,en
258,cos lar i'm ba dao ok... 1 pm lor... u never ask go ah... said u would ask fri said u ask today...,0,en
259,"make cry. stuff happens top everything else, pushes edge. underdtand often cry sorry, sorry life.",0,en
260,sonunda bi yerde patlak verecek onun durumları du bakalım umarım zararlı çıkmayz...,0,tr
261,lol gonna last month. cashed left &lt;#&gt; case. collecting week cause announced blog.,0,en
262,cute thought friendship: \its necessary share every secret ur close frnd,0,en
263,"finally happened..! aftr decades..! beer cheaper petrol! goverment expects us \drink\"". . . \""drive \""""",0,en
264,"sorry, i'll call later",0,en
265,"koroplast firin torbasi alin, sifreyi www.koroplastlazamankazan.com'a girin aninda kahve dünyasindan kahve kazanin.size özel firsat icin son gün 09 mart!",1,tr
266,"haberleşmedik, hayatında neler oluyor?",0,tr
267,"im sorry bout last nite wasnåõt ur fault me, spouse pmt sumthin! u 4give me? think u shldxxxx",0,en
268,selamat!anda mndptkan hadiah cektunai rp. 15jt indosat pin_277fg49 u/info pengambilan hadiah.kunjungi website indosat www.gebyar-poinindosat.blogspot.com,1,id
269,1516 eylul tarihlerinde internet cep subesine giris yaptiniz xbox one urununu fifa 2016 oyun konsoluyla birlikte 200 tl indirimli alma firsati yakaladiniz ayrintili bilgi icinURL TOKEN googl qmhjyx kodunuzu 31 ekime kadar kullanabilirsiniz,1,tr
270,pls send correct name da.,0,en
271,"nama1 lembar yg kamrin anto. tp yg bab 2 diparafrase kalimatnya, jgn copy paste semua.",0,id
272,ayrıca dükkanda kuşburnu demlememin kavanozla bi alakası yok,0,tr
273,"sorry, can't text &amp; drive coherently, see twenty",0,en
274,izninizle iphone6 veriyoruz!bankamizin kampanya hizmet iletilerini almaya devam etmek iphone6 kazanma firsati yakalamak icin devam yazip 2442'ye gonder,1,tr
275,"ya, told..she asking wats matter?",0,en
276,faceden indirebilir miyiz,0,tr
277,nikmati nelpon sms unlimited indosat ooredoo internetan sepuasnya 3 paket ramadhan unlimited. ketik *123*88#,1,id
278,i'm done oredi...,0,tr
279,live next &lt;#&gt; mins,0,en
280,paraf teknosadan 750 tl uzeri alisverislere 75 tl parafpara ustelik pesin fiyatina 8 taksitleson gun30 kasim detay URL TOKEN urlparafcardcomtr 96,1,tr
281,much dirty fellow?,0,en
282,nissan jukeayo beli popmie skrg kirim kodenya 200200kodeuniq pemenangnyahati2 penipuan cs02171790989 klik URL TOKEN googl dm7pk,1,id
283,tum english home kilimler %50 indirimle magazalarimizda www.englishhome.com.tr'de. sms almamak icin ret yazip 4909'a gonderin. mersis:0326026979700012,1,tr
284,"süvari'den dev kampanya, ürünlerde %70'e varan i̇ndirim. son gün 1 şubat. i̇ptal suvari yaz 3347'ye gönder. mersis:021404242400001",1,tr
286,"sorry pa, dont knw ru pa?",0,en
287,"friendship game play, word say, doesn\'t start march ends may, tomorrow, yesterday, today e",0,en
288,tanitim cebinizde bir subemiz oldugunu biliyor muydunuz hemen indirin cep subesi kullanan binlerce musterimizden olun URL TOKEN bitly fbcpsbe bankamiz urun hizmet kampanya firsatlari hakkinda bilgi sahibi olmak istemiyorsaniz kayitli,1,tr
289,"hello! got here, st andrews-boy long way! cold. keep posted",0,en
290,"yilbasi alisverislerinizde ekstra 15tl bonus! paracard 75tl uzeri harcamaniza 5tl bonus,toplamda 15tl bonus! hemen yazip 3340a gonderin son gun 31 aralik paracard.com.tr/7 ucretsiz sms almak istemiyorsaniz smsiptal yazip 3342ye gonderebilirsiniz",1,tr
291,onura sorup dönecek,0,tr
292,sorry da thangam.it's mistake.,0,en
293,"assalamu alaikum,saya reski dr costumer servis tri plaza semanggi lt.1 jl.jend sudirman jkt pst sdh m-hubungi pengundian lakukan no.anda tdk tersambung, jd krimkn lwt sms jatuh tempo, no.anda menang undian dr tri 2014 jenis hadiah 1unit mobil suzuki ertiga new,dengan pin 2d45cs77, silahkan cek website; www.tricare.jimdo.com /hub; 021-40161777 / 08994179888",1,id
294,nah dub je still buff,0,en
